Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
The Church of Christ: A Biblical Ecclesiology for Today,"In The Church of Christ: A Biblical Ecclesiology for Today, respected biblical scholar Everett Ferguson presents a genuine biblical theology of the church. By systematically examining the New Testament's teaching on the existence, meaning, and purpose of the church, providing responsible coverage of the traditional topics in ecclesiology, and carefully grounding ecclesiology in the person and work of Christ, Ferguson unveils a comprehensive model of the church that is both biblically centered and relevant to a world on the verge of the twenty-first century.",['Everett Ferguson'],http://books.google.com/books/content?id=kVqRaiPlx88C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=kVqRaiPlx88C&printsec=frontcover&dq=The+Church+of+Christ:+A+Biblical+Ecclesiology+for+Today&hl=&cd=1&source=gbs_api,Wm. B. Eerdmans Publishing,1996,http://books.google.nl/books?id=kVqRaiPlx88C&dq=The+Church+of+Christ:+A+Biblical+Ecclesiology+for+Today&hl=&source=gbs_api,['Religion'],5.0
Voices from the Farm: Adventures in Community Living,"Twenty-five years ago, at the height of the counter-culture movement, several hundred hippies drove their school buses into southern Tennessee and founded America's largest, modern-day intentional community, The Farm. In its heyday, the community was home to over 1,200 optimistic young people and the young-at-heart. Their purpose for coming together was to experiment with alternative lifestyles that could help raise the standard of living for impoverished people around the world while conserving the planet's resources. The results of these experiments were not always predictable, but were always interesting, and created lasting bonds among community members that are still strong today. The Farm remains a vibrant, working environment for change. Why has it lasted so long? Discover the answers as members past and present recount some of their more memorable experiences.",['Rupert Fike'],http://books.google.com/books/content?id=IjTABgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=IjTABgAAQBAJ&pg=PP1&dq=Voices+from+the+Farm:+Adventures+in+Community+Living&hl=&cd=1&source=gbs_api,Book Publishing Company,2012-08-21,https://play.google.com/store/books/details?id=IjTABgAAQBAJ&source=gbs_api,['Biography & Autobiography'],1.0
The Battleship Bismarck,"The Bismarck is perhaps the most famous – and notorious – warship ever built. Completed in 1941, the 45,000-ton German battleship sank HMS Hood, the pride of the British Navy, during one of the most sensational encounters in naval history. Following the sinking, Bismarck was chased around the North Atlantic by many units of the Royal Navy. She was finally dispatched with gunfire and torpedoes on 27 May, less than five months after her completion. Her wreck still lies where she sank, 4,800m down and 960km off the west coast of France. Drawing on new research and technology, this edition is the most comprehensive examination of Bismarck ever published. It includes a complete set of detailed line drawings with fully descriptive keys and full-colour 3D artwork, supported by technical details, photographs and text on the building of the ship and a record of the ship's service history.",['Stefan Draminski'],http://books.google.com/books/content?id=nxttDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=nxttDwAAQBAJ&printsec=frontcover&dq=The+Battleship+Bismarck&hl=&cd=1&source=gbs_api,Bloomsbury Publishing,2018-09-20,https://play.google.com/store/books/details?id=nxttDwAAQBAJ&source=gbs_api,['History'],1.0
Tess and the Highlander,"In 1543, on a windswept isle off of Scotland, seventeen-year-old Tess finds a young man half alive in a tidal pool while a great storm rages around them, but little does Tess know that this stranger holds the key to her mysterious past and to her heart. Original.",['May Mcgoldrick'],http://books.google.com/books/content?id=VmCRSPmY3WkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=VmCRSPmY3WkC&dq=Tess+and+the+Highlander&hl=&cd=1&source=gbs_api,Harper Collins,2002-11,http://books.google.nl/books?id=VmCRSPmY3WkC&dq=Tess+and+the+Highlander&hl=&source=gbs_api,['Juvenile Fiction'],2.0
Beginner's Yoruba (Hippocrene Beginner's Series),"""Beginner's Yoruba"" is now available with two accompanying audio CDs. It provides an introduction to the Yoruba language, which is spoken by over 30 million people in south-western Nigeria, parts of the Benin Republic, and Togo, as well as in the diaspora populations of Brazil, Cuba, and Haiti. The 15 lessons are designed for both classroom use and self-study. Practice dialogues, combined with grammatical explanations, aid the student in understanding the basics of the language. Each lesson also contains a vocabulary section that highlights the important aspects of its featured topic. The audio CDs, which complement the lessons, help the student easily master the language's unique tones and vowel sounds, often considered the most difficult aspect of the language to learn. Quizzes and practice exercises are integrated into the lessons to help reinforce the material. The book also includes information on various aspects of Yoruba culture, including religion, songs, and folklore.",['Kayode J. Fakinlede'],http://books.google.com/books/content?id=xLe4nWzeSw0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=xLe4nWzeSw0C&pg=PP1&dq=Beginner%27s+Yoruba+(Hippocrene+Beginner%27s+Series)&hl=&cd=1&source=gbs_api,Hippocrene Books,2005,http://books.google.nl/books?id=xLe4nWzeSw0C&dq=Beginner%27s+Yoruba+(Hippocrene+Beginner%27s+Series)&hl=&source=gbs_api,['Foreign Language Study'],1.0
King James: Believe the Hype---The LeBron James Story,"LeBron James is a six-foot-eight gift from the basketball heavens. For the past three years he was the undisputed finest high school player in America. He was the one NBA scouts drooled over, corporations dreamt of, event promoters begged for, and now NBA fans clamor after. With appearances on the cover of Sports Illustrated and features on ESPN and in newspapers across the country, never before has a high school basketball player been so highly touted or an eighteen-year-old athlete been the subject of such fascination. In fact, no basketball player in the world has had this level of attention this year. Love him or hate him, there is no denying that LeBron James is a force on the basketball court, and his rags-to riches story is the stuff that dreams are made of. Now, for the first time, author Ryan Jones has written a book that incorporates everything that is King James: the controversy, the athletic potential, the jerseys and the Humvee, the hobnobbing with the world's most famous stars, the money, and, of course, the game. This is a book for every fan of LeBron James and for anybody interested in reading about an NBA basketball career in the making.",['Ryan Jones'],http://books.google.com/books/content?id=hlGqehyJhywC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=hlGqehyJhywC&printsec=frontcover&dq=King+James:+Believe+the+Hype---The+LeBron+James+Story&hl=&cd=1&source=gbs_api,St. Martin's Griffin,2003-10-10,https://play.google.com/store/books/details?id=hlGqehyJhywC&source=gbs_api,['Sports & Recreation'],1.0
Building the timber frame house: The revival of a forgotten craft,"For centuries, post-and-beam construction has proved to be one of the most durable building techniques. It is being enthusiastically revived today not only for its sturdiness but because it can be easily insulated, it is attractive, and it offers the builder the unique satisfaction of working with timbers. Building the Timber Frame House is the most comprehensive manual available on the technique. In it you will find a short history, of timber framing and a fully illustrated discussion of the different kinds of joinery, assembly of timbers, and raising of the frame. There are also detailed sections on present-day design and materials, house plans, site development, foundation laying, insulation, tools, and methods.",['Tedd Benson'],http://books.google.com/books/content?id=6uxXorE4r-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=6uxXorE4r-UC&printsec=frontcover&dq=Building+the+timber+frame+house:+The+revival+of+a+forgotten+craft&hl=&cd=1&source=gbs_api,Simon and Schuster,1981-09-01,https://play.google.com/store/books/details?id=6uxXorE4r-UC&source=gbs_api,['Architecture'],1.0
"Open marriage;: A new life style for couples,",Advocates the importance of individuality in both partners in order to develop an open relationship in marriage,"[""Nena O'Neill"", ""George O'Neill""]",http://books.google.com/books/content?id=xY2SD7v3070C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=xY2SD7v3070C&pg=PR14&dq=Open+marriage%3B:+A+new+life+style+for+couples,&hl=&cd=1&source=gbs_api",Rowman & Littlefield,1984,"http://books.google.nl/books?id=xY2SD7v3070C&dq=Open+marriage%3B:+A+new+life+style+for+couples,&hl=&source=gbs_api",['Family & Relationships'],1.0
No place to cry: The hurt and healing of sexual abuse,"Just as God gave Dorie Van Stone a tender heart to forgive her abusers, He also gave her the strength to reveal her past in No Place to Cry, the sequel to the best-seller Dorie: The Girl Nobody Loved. Through her candor you will gain insight into the trauma of emotional and sexual abuse.","['Dorie N. Van Stone', 'Erwin W. Lutzer']",http://books.google.com/books/content?id=J9NKUAfjGU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=J9NKUAfjGU8C&printsec=frontcover&dq=No+place+to+cry:+The+hurt+and+healing+of+sexual+abuse&hl=&cd=1&source=gbs_api,Moody Publishers,1992-05-09,https://play.google.com/store/books/details?id=J9NKUAfjGU8C&source=gbs_api,['Religion'],4.0
The Impatient Gardener's Lawn Book,"Explains how to grow a green, beautiful lawn and offers advice on fertilizers, watering, and lawn diseases",['Jerry Baker'],http://books.google.com/books/content?id=h-R4Nt0spJUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=h-R4Nt0spJUC&dq=The+Impatient+Gardener%27s+Lawn+Book&hl=&cd=1&source=gbs_api,"Random House Digital, Inc.",1987,http://books.google.nl/books?id=h-R4Nt0spJUC&dq=The+Impatient+Gardener%27s+Lawn+Book&hl=&source=gbs_api,['Gardening'],1.0
